Video Solution,Category,Question,Link,Notes
https://youtu.be/3OamzN90kPg,Arrays & Hashing,Contains Duplicate,https://leetcode.com/problems/contains-duplicate/,"hashset to get unique values in array, to check for duplicates easily"
https://youtu.be/KLlXCFG5TnA,Arrays & Hashing,Two Sum,https://leetcode.com/problems/two-sum/,"use hash map to instantly check for difference value, map will add index of last occurrence of a num, don’t use same element twice;"
https://youtu.be/9UtInBqnCgA,Arrays & Hashing,Valid Anagram,https://leetcode.com/problems/valid-anagram/,"Use an array of size 26 to represent all lowercase chars, and increment each letter using ord method to get the ascii value of a letter."
https://youtu.be/vzdNOK2oB2E,Arrays & Hashing,Group Anagrams,https://leetcode.com/problems/group-anagrams/,"for each of 26 chars, use count of each char in each word as tuple for key in dict, value is the list of anagrams;"
https://youtu.be/YPTqKIgVk-k,Arrays & Hashing,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/,"minheap that’s kept at size k, if its bigger than k pop the min, by the end it should be left with k largest;  This can also be solved using quick_select for optimal time complexity on the average case"
https://youtu.be/bNvIQI2wAjk,Arrays & Hashing,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/,"make two passes, first in-order, second in-reverse, to compute products"
https://www.youtube.com/watch?v=TjFXEUCMqI8,Arrays & Hashing,Valid Sudoku,https://leetcode.com/problems/valid-sudoku/,"Create a method that checks if the len of the set of values in a single row is the same is the length of the row(i.e. no duplicate values in the row), then create 3 matrices, the first is the original board(checking rows), the second is the original board transposed(moving the columns to rows and checking them), and the last is a board where each row is a single square of the original board. validate each of the matrices using the method described above and return the result."
https://youtu.be/B1k_sxOSgv8,Arrays & Hashing,Encode and Decode Strings (Leetcode Premium),https://leetcode.com/problems/encode-and-decode-strings/,"store the lengths of each strings with a delimiter of ""."" than a delimiter of ""#"" between the lengths and the strings and eventually concat all the letters one after the other."
https://youtu.be/P6RZZMu_maU,Arrays & Hashing,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/,"add each num to hashset, for each num if num-1 doesn’t exist, count the consecutive nums after num if they exist in the hashset, ie num+1 in hashset;"
https://www.youtube.com/watch?v=BHr381Guz3Y&ab_channel=NeetCode,Arrays & Hashing,Rotate Array,https://leetcode.com/problems/rotate-array/,
https://youtu.be/jJXJ16kPFWg,Two Pointers,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/,"left, right pointers, update left and right until each points at alphanum, compare left and right, continue until left >= right, don’t distinguish between upper/lowercase;"
https://www.youtube.com/watch?v=cQ1Oz4ckceM&ab_channel=NeetCode,Two Pointers,Two Sum 2,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,"Initiate two pointers, left=0 and right=len(nums)-1 and a current sum = nums[left]+nums[right], while curr_sum != target, increment left if its smaller else decrement right;"
https://youtu.be/jzZsG8n2R9A,Two Pointers,3Sum,https://leetcode.com/problems/3sum/,"sort input, for each first element, find next two where -a = b+c, if a=prevA, skip a, if b=prevB skip b to elim duplicates; to find b,c use two pointers, left/right on remaining list;"
